freq,psd_x,psd_y,psd_z,psd_xyz,zv(76.0),mzv(67.0),ei(85.6),2hump_ei(51.4),3hump_ei(49.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.994,0.994,0.983,0.975
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.987,0.986,0.958,0.938
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.978,0.977,0.927,0.890
6.4,2.126e+02,3.411e+00,5.867e+00,2.219e+02,0.980,0.967,0.966,0.888,0.832
8.0,2.895e+02,3.531e+00,4.547e+00,2.976e+02,0.973,0.954,0.953,0.844,0.766
9.6,3.479e+02,4.008e+00,4.224e+00,3.561e+02,0.964,0.940,0.939,0.795,0.695
11.2,2.951e+02,2.848e+00,3.791e+00,3.018e+02,0.954,0.924,0.924,0.741,0.619
12.8,2.681e+02,2.376e+00,2.956e+00,2.734e+02,0.944,0.907,0.906,0.684,0.542
14.4,3.102e+02,4.463e+00,2.773e+00,3.174e+02,0.932,0.888,0.888,0.625,0.464
16.0,3.505e+02,7.330e+00,2.600e+00,3.604e+02,0.920,0.868,0.868,0.564,0.389
17.6,3.915e+02,7.214e+00,2.377e+00,4.011e+02,0.907,0.847,0.847,0.503,0.318
19.2,4.321e+02,7.437e+00,2.178e+00,4.417e+02,0.892,0.824,0.825,0.442,0.251
20.8,4.636e+02,8.307e+00,2.072e+00,4.740e+02,0.877,0.801,0.802,0.383,0.192
22.4,4.945e+02,9.172e+00,2.069e+00,5.058e+02,0.861,0.776,0.778,0.326,0.140
24.0,5.282e+02,9.586e+00,2.158e+00,5.399e+02,0.844,0.750,0.753,0.272,0.097
25.6,5.583e+02,9.279e+00,2.110e+00,5.697e+02,0.827,0.723,0.727,0.221,0.064
27.2,6.030e+02,1.003e+01,2.130e+00,6.151e+02,0.808,0.696,0.700,0.175,0.044
28.8,6.280e+02,1.159e+01,2.039e+00,6.416e+02,0.789,0.667,0.673,0.133,0.037
30.4,6.716e+02,1.343e+01,2.129e+00,6.872e+02,0.769,0.638,0.645,0.097,0.038
32.0,7.096e+02,1.450e+01,2.400e+00,7.264e+02,0.748,0.609,0.616,0.066,0.040
33.6,7.106e+02,1.612e+01,2.602e+00,7.293e+02,0.727,0.579,0.588,0.043,0.039
35.2,7.384e+02,1.831e+01,2.816e+00,7.595e+02,0.704,0.548,0.559,0.030,0.035
36.8,8.007e+02,2.076e+01,3.154e+00,8.246e+02,0.682,0.518,0.530,0.028,0.029
38.4,8.366e+02,2.452e+01,3.391e+00,8.645e+02,0.658,0.487,0.500,0.032,0.021
40.0,8.286e+02,2.494e+01,3.254e+00,8.568e+02,0.634,0.456,0.471,0.037,0.014
41.6,8.070e+02,2.483e+01,3.395e+00,8.352e+02,0.610,0.425,0.442,0.038,0.012
43.2,8.561e+02,2.867e+01,3.656e+00,8.884e+02,0.584,0.394,0.413,0.037,0.016
44.8,9.333e+02,3.259e+01,3.959e+00,9.698e+02,0.559,0.364,0.384,0.034,0.022
46.4,1.006e+03,3.572e+01,3.748e+00,1.046e+03,0.533,0.333,0.356,0.028,0.027
48.0,1.064e+03,3.995e+01,3.561e+00,1.107e+03,0.506,0.303,0.328,0.021,0.030
49.6,1.101e+03,4.780e+01,4.369e+00,1.154e+03,0.479,0.274,0.301,0.013,0.030
51.2,1.088e+03,5.658e+01,5.227e+00,1.150e+03,0.452,0.245,0.274,0.011,0.028
52.7,1.011e+03,6.235e+01,6.036e+00,1.080e+03,0.424,0.216,0.248,0.012,0.023
54.3,1.008e+03,7.328e+01,7.025e+00,1.089e+03,0.396,0.189,0.223,0.018,0.017
55.9,1.090e+03,9.560e+01,8.167e+00,1.194e+03,0.368,0.162,0.199,0.024,0.013
57.5,1.182e+03,1.351e+02,1.048e+01,1.328e+03,0.340,0.136,0.176,0.029,0.012
59.1,1.295e+03,2.028e+02,1.607e+01,1.514e+03,0.311,0.111,0.153,0.031,0.013
60.7,1.410e+03,3.128e+02,2.684e+01,1.750e+03,0.282,0.087,0.132,0.031,0.015
62.3,1.541e+03,4.902e+02,4.812e+01,2.079e+03,0.253,0.065,0.112,0.029,0.021
63.9,1.691e+03,7.508e+02,8.026e+01,2.522e+03,0.224,0.049,0.093,0.027,0.024
65.5,1.833e+03,9.926e+02,1.085e+02,2.934e+03,0.195,0.038,0.076,0.027,0.025
67.1,1.913e+03,1.011e+03,1.106e+02,3.034e+03,0.166,0.034,0.060,0.029,0.023
68.7,1.933e+03,8.465e+02,9.448e+01,2.874e+03,0.138,0.038,0.046,0.034,0.025
70.3,1.836e+03,6.684e+02,8.333e+01,2.588e+03,0.111,0.045,0.034,0.042,0.027
