freq,psd_x,psd_y,psd_z,psd_xyz,zv(78.0),mzv(74.2),ei(87.8),2hump_ei(110.4),3hump_ei(133.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.995,0.994,0.993,0.992
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.989,0.987,0.985,0.983
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.981,0.978,0.974,0.972
6.3,4.234e+00,2.174e+02,6.562e+00,2.282e+02,0.981,0.971,0.967,0.963,0.959
7.9,3.214e+00,2.768e+02,6.215e+00,2.862e+02,0.974,0.961,0.955,0.949,0.945
9.5,3.170e+00,3.361e+02,5.512e+00,3.448e+02,0.966,0.949,0.942,0.934,0.929
11.1,4.181e+00,4.215e+02,5.037e+00,4.307e+02,0.957,0.936,0.927,0.918,0.912
12.7,4.857e+00,5.589e+02,5.876e+00,5.697e+02,0.947,0.921,0.911,0.900,0.893
14.3,4.748e+00,5.208e+02,6.277e+00,5.319e+02,0.936,0.906,0.894,0.882,0.873
15.9,3.281e+00,2.894e+02,4.421e+00,2.971e+02,0.924,0.889,0.875,0.861,0.852
17.4,2.051e+00,2.506e+02,3.208e+00,2.559e+02,0.912,0.871,0.855,0.840,0.830
19.0,1.556e+00,2.968e+02,2.426e+00,3.008e+02,0.898,0.852,0.834,0.818,0.807
20.6,1.565e+00,3.467e+02,2.328e+00,3.506e+02,0.884,0.833,0.812,0.794,0.782
22.2,1.496e+00,4.005e+02,2.639e+00,4.046e+02,0.869,0.812,0.789,0.770,0.757
23.8,1.354e+00,4.674e+02,2.901e+00,4.716e+02,0.853,0.790,0.765,0.745,0.731
25.4,1.366e+00,5.550e+02,2.534e+00,5.589e+02,0.836,0.767,0.740,0.719,0.705
27.0,1.182e+00,6.515e+02,2.148e+00,6.548e+02,0.819,0.744,0.715,0.693,0.678
28.6,9.765e-01,7.026e+02,2.100e+00,7.057e+02,0.800,0.720,0.689,0.666,0.650
30.1,1.028e+00,7.550e+02,2.147e+00,7.581e+02,0.782,0.695,0.662,0.638,0.622
31.7,9.937e-01,8.186e+02,2.300e+00,8.219e+02,0.762,0.670,0.635,0.611,0.594
33.3,1.043e+00,8.582e+02,2.566e+00,8.618e+02,0.742,0.644,0.607,0.582,0.566
34.9,1.086e+00,9.044e+02,3.311e+00,9.088e+02,0.721,0.617,0.580,0.554,0.537
